arrival_s,class_name,input_tokens,cached_input_tokens,output_tokens,thinking_tokens,max_output_tokens,observed_latency_s
0.0,chat,725,87,152,0,435,
0.06592172991419609,reasoning,2517,151,224,348,870,
0.16531241042381817,chat,1091,131,286,0,435,
1.2837398921903729,reasoning,988,59,535,202,870,
3.8641723784593944,chat,1147,138,128,0,435,
5.686701984454345,reasoning,875,52,271,177,870,
5.779490599405175,rag,1634,1086,122,0,653,
5.915349111575363,chat,806,465,268,0,435,
6.785469041798304,chat,891,107,178,0,435,
7.7635870221454475,chat,458,55,194,0,435,
9.187709047722572,rag,2103,1520,93,0,653,
11.895730306115324,reasoning,1912,115,368,148,870,
11.973084457033009,chat,547,300,151,0,435,
12.147470653087968,rag,1736,312,431,0,653,
13.752957876612792,rag,4118,3189,316,0,653,
16.131276289725605,reasoning,2594,156,522,241,870,
16.325783896586643,rag,1170,211,202,0,653,
16.89439531585952,reasoning,6430,386,350,170,870,
17.141599615852975,reasoning,659,40,593,185,870,
18.294065982700133,reasoning,779,47,491,83,870,
20.20125096745958,chat,760,91,173,0,435,
20.969006410397128,chat,810,97,379,0,435,
21.505909954321915,chat,688,83,119,0,435,
24.914396324121917,reasoning,1365,210,521,439,870,
25.3585194219742,reasoning,1231,74,421,471,870,
26.519066229833527,chat,1178,141,154,0,435,
27.27455902646303,chat,584,315,46,0,435,
30.567091841030155,rag,1400,771,239,0,653,
30.618145256127583,rag,1627,293,198,0,653,
31.69368842841432,rag,1661,299,218,0,653,
32.155237825793144,reasoning,1202,72,385,300,870,
32.68140398906601,rag,4412,794,75,0,653,
33.486112643473746,rag,2541,457,146,0,653,
34.401971231198885,rag,1562,705,168,0,653,
35.79677849085503,rag,1544,278,306,0,653,
36.330833033666316,chat,317,38,110,0,435,
36.337389248089025,rag,960,173,259,0,653,
37.210173433984224,rag,1673,301,215,0,653,
37.556049988078996,reasoning,1893,114,190,103,870,
37.7654263890188,reasoning,1308,78,326,121,870,
39.948147401773056,reasoning,2566,154,173,328,870,
40.76721660098742,chat,413,50,202,0,435,
41.73525874406448,rag,2596,1882,300,0,653,
43.35073892945547,chat,521,63,205,0,435,
43.36671387153274,chat,677,81,162,0,435,
43.43962835797894,rag,1248,225,240,0,653,
43.82135608664753,chat,355,43,227,0,435,
44.759905160197576,reasoning,1130,189,268,511,870,
46.187523734836496,chat,605,73,410,0,435,
47.65229109837746,rag,1019,183,89,0,653,
49.94415158785706,chat,442,53,214,0,435,
51.30063639568492,chat,802,96,193,0,435,
51.346652778343135,rag,2859,1391,181,0,653,
52.58448884223618,chat,1221,744,206,0,435,
53.03589377115674,chat,406,49,182,0,435,
53.47020282144535,rag,2899,522,162,0,653,
53.695311712456196,chat,1042,125,285,0,435,
54.32474675292702,rag,947,170,262,0,653,
54.97743658433783,chat,466,202,175,0,435,
55.43984511367035,reasoning,2025,122,422,580,870,
57.049732155660706,chat,308,37,199,0,435,
58.32690519400288,chat,1020,122,118,0,435,
58.78000434546748,chat,656,228,260,0,435,
59.49348403975213,chat,1265,496,170,0,435,
59.938626962358846,rag,1138,205,218,0,653,
61.708360619416815,chat,810,97,190,0,435,
62.400409912148504,rag,3697,665,389,0,653,
62.637665952612785,chat,504,60,70,0,435,
62.6681164363037,chat,277,33,86,0,435,
63.764303822601,chat,707,85,282,0,435,
65.55201526105792,chat,1589,191,72,0,435,
66.2263405152698,chat,905,109,186,0,435,
66.40369123695295,reasoning,1458,87,170,214,870,
67.48149455970622,chat,900,108,114,0,435,
67.59062106606787,chat,582,70,165,0,435,
69.24969875613428,rag,1207,217,112,0,653,
71.00599472555231,chat,1090,131,108,0,435,
71.27709344315127,chat,856,527,171,0,435,
71.56564883805852,rag,2583,1390,383,0,653,
71.65538954886661,rag,1019,183,159,0,653,
71.7935423434905,rag,1508,944,526,0,653,
71.88895766910086,chat,420,50,129,0,435,
72.95516629412242,chat,749,90,151,0,435,
73.76829450869272,reasoning,1559,94,609,94,870,
